set,numero,lingua,url_carta,url_immagine,url_immagine_grande
PRE,140,en,https://limitlesstcg.com/cards/en/PRE/140,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_140_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_140_R_EN_LG.png
PRE,141,en,https://limitlesstcg.com/cards/en/PRE/141,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_141_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_141_R_EN_LG.png
PRE,142,en,https://limitlesstcg.com/cards/en/PRE/142,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_142_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_142_R_EN_LG.png
PRE,143,en,https://limitlesstcg.com/cards/en/PRE/143,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_143_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_143_R_EN_LG.png
PRE,170,en,https://limitlesstcg.com/cards/en/PRE/170,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_170_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_170_R_EN_LG.png
PRE,171,en,https://limitlesstcg.com/cards/en/PRE/171,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_171_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_171_R_EN_LG.png
PRE,172,en,https://limitlesstcg.com/cards/en/PRE/172,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_172_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_172_R_EN_LG.png
PRE,173,en,https://limitlesstcg.com/cards/en/PRE/173,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_173_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_173_R_EN_LG.png
PRE,174,en,https://limitlesstcg.com/cards/en/PRE/174,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_174_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_174_R_EN_LG.png
PRE,175,en,https://limitlesstcg.com/cards/en/PRE/175,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_175_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_175_R_EN_LG.png
SSP,229,en,https://limitlesstcg.com/cards/en/SSP/229,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_229_R_EN_SM.png,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_229_R_EN_LG.png
